"","Degree","Betweenness","Closeness","Eigenvector"
"dark_matter_1.txt",15,0.333,0.00806,0.543
"dark_matter_2.txt",15,0,0.00515,0.846
"dark_matter_3.txt",15,0,0.00427,1
"dark_matter_4.txt",15,0,0.0045,0.955
"dark_matter_5.txt",15,0,0.0051,0.854
"info_article_1.txt",15,0,0.00505,0.889
"info_article_2.txt",15,0,0.00513,0.861
"mission_overview_1.txt",15,23.5,0.00885,0.493
"mission_overview_2.txt",15,0,0.00592,0.743
"movie_sum_1.txt",15,0,0.00463,0.959
"movie_sum_2.txt",15,0,0.00465,0.924
"movie_sum_3.txt",15,0,0.00532,0.811
"movie_sum_4.txt",15,0,0.00446,0.969
"nyc_food_1.txt",15,8.67,0.00833,0.522
"nyc_food_2.txt",15,0,0.00671,0.642
"nyc_food_3.txt",15,0,0.0073,0.591
