"","Degree","Betweenness","Closeness","Eigenvector"
"dark_matter_1.txt",12,20.3,0.0109,0.313
"dark_matter_2.txt",19,25.4,0.0105,0.819
"dark_matter_3.txt",23,10.4,0.0105,0.618
"dark_matter_4.txt",22,73.9,0.0132,0.362
"dark_matter_5.txt",19,70.5,0.0123,0.535
"info_article_1.txt",20,47.8,0.0118,0.536
"info_article_2.txt",19,16.4,0.0106,0.904
"mission_overview_1.txt",11,17.4,0.0099,0.257
"mission_overview_2.txt",16,58.8,0.0122,0.733
"movie_sum_1.txt",22,39.6,0.0112,0.692
"movie_sum_2.txt",21,48.3,0.0115,0.522
"movie_sum_3.txt",18,21.8,0.0109,0.568
"movie_sum_4.txt",22,8.24,0.0105,0.891
"nyc_food_1.txt",11,12.8,0.0101,0.176
"nyc_food_2.txt",14,30.2,0.0115,0.224
"nyc_food_3.txt",13,27.9,0.0106,0.198
"also",10,16.9,0.0115,0.215
"first",10,0,0.0087,0.463
"made",10,6.11,0.0098,0.284
"make",12,0.548,0.00855,0.442
"one",16,5.51,0.0106,0.72
"possibl",11,32.6,0.0115,0.314
"remain",10,50.5,0.0123,0.154
"space",11,3.85,0.0099,1
"star",10,1.57,0.00893,0.861
"two",12,34,0.0122,0.239
"way",13,34.4,0.0122,0.313
"year",12,14.3,0.0111,0.578
"can",13,3.86,0.00962,0.635
"even",11,14.8,0.011,0.277
"just",11,11.9,0.011,0.321
"know",10,4.17,0.0103,0.362
"like",13,0.699,0.00952,0.603
"long",10,19.2,0.0118,0.218
"might",11,1.19,0.00962,0.42
"point",11,25.7,0.0115,0.217
"still",10,5.92,0.0103,0.256
"time",13,7.97,0.0109,0.495
"cant",10,30.3,0.0118,0.157
"look",12,20.4,0.012,0.297
"will",10,3.26,0.0099,0.288
