"","account","act","ago","also","big","billion","cluster","composit","constant","creat","dark","densiti","detect","discov","earli","effect","element","energi","exist","expect","experi","explain","explan","first","forc","form","found","galaxi","give","graviti","hot","howev","interact","keep","known","larg","light","made","make","mass","matter","may","mean","measur","minut","model","motion","move","must","name","need","new","number","observ","occur","one","orbit","origin","physic","possibl","predict","provid","question","remain","requir","rest","sinc","space","star","suggest","theori","two","univers","way","within","year","abl","actual","anoth","answer","away","begin","black","calcul","call","can","come","complet","continu","correct","differ","dont","due","earth","enough","even","ever","fact","far","final","fraction","get","given","import","includ","just","know","last","less","like","long","mani","mayb","might","much","mysteri","near","never","object","physicist","planet","point","result","right","scientist","second","see","set","show","small","someth","still","system","that","thing","think","thought","three","time","tri","turn","understand","wrong","zero","allow","almost","alon","alway","avail","becom","best","cant","challeng","director","end","find","fli","idea","insid","left","locat","look","note","order","peopl","say","sens","spot","take","there","type","use","wasnt","well","whether","will","world","alreadi","detail","histori","lead","leav","life","present","put","simpli","tell","without","around","everi","feel","good","old","review","shape","watch","work","across","clear","control","explor","happen","isnt","least","live","power","stori","credit","imag","mission","nasa","astronaut","hour","man","part","read"
"account",0,2,3,4,2,3,3,3,2,2,4,4,3,3,2,3,2,3,5,4,2,3,2,4,3,3,4,5,4,3,2,2,3,3,3,4,3,4,2,4,3,3,4,3,2,3,3,3,4,2,3,4,3,4,3,5,3,4,2,5,2,4,2,4,4,2,4,4,5,3,2,5,3,5,4,5,1,1,2,1,1,2,3,2,3,4,2,2,2,1,3,1,2,2,1,3,1,1,2,2,2,1,3,1,2,3,3,2,2,4,3,3,0,3,3,2,4,2,3,2,3,4,2,1,2,3,2,1,1,3,3,2,2,2,2,2,1,3,4,2,1,1,1,2,2,2,3,2,1,3,2,3,2,2,3,3,1,3,2,1,2,3,2,1,2,4,2,2,3,3,4,3,2,2,4,4,4,2,2,3,3,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1
"act",2,0,2,4,2,2,1,2,2,2,3,1,2,1,3,3,2,2,2,1,3,2,1,5,3,2,1,3,3,4,2,1,2,3,1,2,3,3,4,2,3,3,3,2,4,2,2,2,3,2,1,4,1,1,1,5,3,3,3,3,2,2,2,2,3,3,3,5,4,2,2,4,2,4,1,5,2,1,2,1,3,1,2,0,2,4,3,0,1,1,3,2,0,4,2,3,3,1,0,1,0,2,1,2,3,3,4,2,2,4,4,3,2,3,2,0,2,3,3,2,2,3,1,4,2,1,4,0,3,0,1,4,0,4,4,4,3,2,4,3,2,2,1,2,1,3,1,2,1,2,4,3,0,3,2,1,1,2,2,2,0,3,1,1,3,2,3,1,2,3,2,2,3,3,3,2,2,1,2,1,2,2,2,2,2,2,2,3,2,3,4,3,3,3,1,3,4,2,1,3,2,2,1,2,3,2,3,1,3,3,3,3,2,3,2,3
"ago",3,2,0,5,3,3,3,3,4,3,5,3,2,3,4,3,3,4,4,4,1,3,4,4,3,3,3,5,5,3,1,3,2,2,4,3,4,5,3,2,3,2,5,3,2,4,2,2,2,3,3,4,4,4,3,5,1,3,3,5,4,4,2,2,4,3,4,4,4,4,3,3,4,5,3,4,3,2,2,2,3,2,3,2,3,4,3,2,3,3,4,1,2,3,1,4,3,3,3,2,2,1,4,2,4,4,4,2,4,4,4,4,1,3,3,3,3,2,3,2,2,4,3,2,3,2,3,2,3,3,3,3,1,3,4,3,2,2,4,2,2,2,1,2,1,2,2,1,0,2,1,3,1,1,1,1,0,3,2,0,1,2,1,0,1,3,1,2,2,2,3,2,1,2,2,2,2,3,3,3,2,2,2,3,2,1,3,2,1,2,1,1,2,2,1,1,1,2,0,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,0,1
"also",4,4,5,0,4,5,4,4,5,5,7,4,4,3,6,6,4,6,6,5,4,4,5,8,6,5,4,8,6,7,2,5,4,3,5,4,7,7,7,4,5,6,7,4,4,6,4,4,5,5,5,6,5,5,6,10,4,6,4,9,6,7,4,6,6,5,8,8,7,5,5,7,7,9,5,8,4,5,5,4,4,5,3,4,5,8,6,4,5,4,6,4,5,6,5,7,4,3,5,4,4,3,5,3,6,8,7,4,4,8,7,6,3,6,5,4,5,3,5,5,5,7,5,4,7,5,6,4,5,5,5,7,4,6,6,7,4,5,9,4,5,5,3,4,3,5,4,4,3,3,4,7,3,3,3,3,2,5,4,3,4,6,2,2,4,6,4,4,4,5,5,5,4,6,4,5,4,4,4,3,3,4,4,3,4,4,4,3,3,3,4,3,4,3,2,3,3,3,1,4,4,4,2,3,4,4,3,2,4,4,4,3,2,3,1,2
"big",2,2,3,4,0,2,4,2,3,4,4,3,3,2,3,4,2,6,3,4,3,4,3,4,4,3,3,4,5,3,2,4,3,3,4,4,4,6,6,2,4,4,5,2,2,4,4,4,3,2,4,2,3,4,3,6,3,3,3,4,3,4,2,3,2,2,4,5,4,5,2,3,4,4,3,5,3,4,2,2,3,2,2,3,4,5,4,2,2,3,4,4,2,3,2,5,3,4,4,3,3,3,3,2,3,3,4,1,3,4,3,3,3,5,5,3,3,2,2,2,2,4,3,2,3,2,4,1,3,3,2,3,2,5,4,4,2,3,5,3,3,4,3,2,2,4,1,1,1,2,2,3,2,2,2,1,2,3,3,2,2,4,3,2,3,3,2,3,4,2,3,2,2,2,2,2,1,1,1,1,0,0,2,2,3,0,2,1,1,3,1,1,2,3,1,1,1,2,2,1,0,1,1,2,1,1,1,3,3,2,2,1,1,1,2,1
"billion",3,2,3,5,2,0,3,2,3,2,4,3,3,3,3,4,3,4,4,4,2,2,4,3,3,2,4,6,3,2,2,3,3,1,3,3,3,3,3,4,3,5,4,5,1,4,2,4,4,2,2,4,5,4,4,6,2,5,4,5,3,4,4,4,4,1,6,5,5,3,4,5,5,6,5,6,2,3,0,3,1,1,2,2,2,5,2,1,3,2,3,1,2,3,2,3,1,2,3,1,3,0,2,1,2,4,3,1,2,5,5,4,1,4,3,2,2,1,2,2,2,3,3,1,4,2,2,2,3,3,2,3,2,2,3,3,2,2,5,1,2,3,1,0,2,2,2,1,1,1,1,4,3,0,1,2,0,3,3,0,3,5,1,0,0,4,1,3,3,2,4,4,1,3,2,3,2,3,2,3,2,1,3,2,2,3,2,1,3,3,2,1,4,2,3,1,1,3,2,2,2,1,1,3,1,1,1,2,1,2,2,0,1,0,1,0
"cluster",3,1,3,4,4,3,0,3,3,4,4,4,4,3,3,5,2,4,4,5,2,3,3,3,3,3,4,5,4,3,2,4,4,2,4,4,4,4,4,3,3,4,4,3,1,4,4,4,3,2,3,3,4,5,3,5,3,4,2,5,3,5,3,3,3,2,5,5,4,4,2,3,4,5,4,4,2,3,2,3,2,2,2,4,4,4,3,2,3,2,3,2,2,3,2,3,2,2,3,2,4,2,3,1,2,3,3,2,2,4,3,3,1,4,4,3,3,2,2,2,3,4,3,1,3,3,3,1,2,4,2,1,3,3,2,3,1,3,4,2,3,3,2,2,1,2,1,1,1,1,1,2,3,1,2,2,1,2,2,1,3,3,1,1,1,3,1,2,3,1,3,3,1,2,2,2,2,1,1,2,1,0,1,1,1,0,1,0,2,2,0,0,2,1,2,0,0,2,1,1,1,0,0,2,0,0,0,2,1,2,2,0,1,0,1,0
"composit",3,2,3,4,2,2,3,0,2,3,3,3,3,4,4,4,3,2,5,4,3,2,3,5,2,2,3,4,4,5,2,2,3,3,2,3,4,5,4,2,2,3,3,2,4,2,4,3,3,4,4,5,3,3,2,6,3,4,1,6,3,5,2,4,5,4,3,5,5,3,2,5,3,5,2,4,2,2,4,2,2,3,4,3,5,4,3,3,5,2,2,1,2,4,2,3,3,1,1,3,2,2,3,3,4,3,3,4,2,4,4,4,1,4,3,2,5,4,5,2,4,5,2,3,2,4,3,3,2,3,2,3,3,2,2,3,1,4,5,3,1,2,2,3,1,3,2,2,1,2,1,1,2,2,4,3,2,1,0,2,2,2,1,0,3,3,1,0,2,1,2,3,1,2,2,3,3,1,2,3,3,3,1,2,1,1,2,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,1,2,3,2,2,2,3,4,3,3,3,3,2,2
"constant",2,2,4,5,3,3,3,2,0,4,4,3,2,3,3,4,3,4,3,4,1,3,4,4,4,4,3,4,4,3,2,3,2,1,4,3,4,4,4,2,3,2,4,3,2,4,2,2,3,4,3,4,4,4,3,5,2,2,3,5,5,5,3,3,3,3,5,4,3,4,3,2,4,5,3,4,2,2,2,3,3,1,2,2,2,4,3,2,2,3,3,2,2,3,2,4,3,3,3,2,2,2,3,1,4,4,4,2,3,4,4,4,2,2,4,3,2,2,3,1,2,4,3,2,4,3,3,2,4,3,2,3,1,3,4,3,3,1,4,1,3,2,1,2,1,1,1,1,1,1,1,3,1,1,0,0,0,2,2,1,1,3,1,1,1,3,1,2,3,2,2,1,1,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,2,2,2,1,0,1,1,1
"creat",2,2,3,5,4,2,4,3,4,0,4,3,3,3,3,6,3,4,4,5,3,3,4,5,4,4,4,4,5,5,2,4,3,3,4,3,6,5,6,2,3,3,4,2,3,4,3,4,4,4,4,4,3,4,3,6,3,4,2,6,4,6,3,4,2,3,5,6,4,5,2,3,5,6,3,5,2,4,4,3,3,2,2,3,4,5,5,3,3,2,3,3,2,3,4,5,4,2,3,3,3,4,4,2,4,5,5,2,2,5,4,4,2,4,5,4,3,3,3,2,4,5,4,3,5,4,5,2,4,3,2,2,2,4,3,5,2,2,5,3,4,4,3,4,2,3,2,3,3,2,2,3,3,3,2,2,2,2,2,3,2,4,2,2,3,4,2,2,4,2,2,3,2,4,2,3,3,1,3,2,2,2,3,2,2,2,3,2,3,1,2,2,2,1,2,1,2,1,1,1,1,1,0,1,2,1,2,1,3,3,2,2,0,2,2,2
